Title,Answer 1,Reward 1,Answer 2, Reward 2
"Oh non ! La SNCF est en grêve ! Je vais devoir prendre un autre train demain...";"Se lever plus tôt et prendre le train précédent.";"+2 connaissances, -15 argent";"Suivre le cours en distanciel.";"+1 connaissances, -15 argent"
"L'école organise un job dating : idéal pour trouver mon stage !";"Je prends un billet et participe.";"+1 connaissances, -15 argent";"Je n'y vais pas.";"-1 connaissances"
"La classe organise une petite fête ce soir, pour fêter la fin des examens.";"Allons-y, ça doit être sympa !";"-1 connaissances, -50 argent";"Je ferais mieux d'aller aider le voisin qui me l'a demandé.";"+1 connaissances, +50 argent"
"La classe organise une petite fête ce soir, pour fêter la fin des examens. En plus l'hôte prend en charge quasiment tous les frais !";"Je ne vois aucune raison de refuser !";"-1 connaissances, -10 argent";"Et si, pour une fois, j'allais dormir ?";"+1 connaissances"
"Une manifestation a lieu sur mon trajet, je vais devoir faire un détour.";"Payer pour un trajet différent.";"+2 connaissances, -10 argent";"Arriver en retard.";"+1 connaissances"
"Le week-end en famille s'éternise, grand-père propose de rester dormir à la maison pour faire une veillée. Mais j'ai déjà pris mon billet pour aujourd'hui...";"Tant pis pour le train, la famille d'abord.";"+2 connaissances, -15 argent";"Désolé, j'ai déjà pris mon billet.";"-1 connaissances"
"Mon PC vient de me lâcher, il faut en racheter un... le timing est vraiment mauvais, on a un examen après demain !";"Louer un PC.";"+1 connaissances, -500 argent";"Monter un nouveau PC.";"+2 connaissances, -1000 argent"
"Je sors avec des amis ! Plutôt cinéma documentaire ou plutôt musée ?";"Cinéma !";"+2 connaissances, -20 argent";"Musée !";"+1 connaissances"
"Je suis invité à une soirée ! Ça promet d'être bien arrosé...";"Y aller et boire comme un trou.";"-2 connaissances, -50 argent";"Y aller mais boire modérément.";"-20 argent"
"J'ai envie de lire quelque chose, et si j'allais à la BU ?";"C'est parti !";"+2 connaissances, -5 argent";"Je peux probablement trouver sur Internet.";"-1 connaissances"
"Je croise un vieil homme démuni. Il fait la manche.";"Je lui donne un petit quelque chose et discute avec lui.";"+1 connaissances, -5 argent";"Je passe mon chemin.";""
"L'école organise une sortie facultative dans le week-end.";"Ça va être sympa, on va apprendre plein de trucs !";"+2 connaissances, -50 argent";"Flemme en fait.";"-2 connaissances"
"J'ai foiré la dernière évaluation, ça sent mauvais pour le semestre...";"Je soudoie le professeur.";"-2 connaissances, -100 argent";"J'assume et vais essayer de suivre une formation à côté, pour rattraper.";"+2 connaissances, -150 argent"
"J'ai besoin d'argent en ce moment...";"Pas le temps avec les cours !";"+2 connaissances, -20 argent";"Qu'est-ce que c'est, une semaine d'absence ?";"-3 connaissances, + 200 argent"
